"module name", "license", "repository", "version"
"acorn-jsx", "MIT", "https://github.com/acornjs/acorn-jsx", 5.2.0
"acorn-globals", "MIT", "https://github.com/ForbesLindesay/acorn-globals", 4.3.4
"acorn-walk", "MIT", "https://github.com/acornjs/acorn", 6.2.0
"address", "MIT", "https://github.com/node-modules/address", 5.7.4 & 6.4.1 & 7.1.1
"adjust-sourcemap-loader", "MIT", "https://github.com/bholloway/adjust-sourcemap-loader", 2.0.0
"aggregate-error", "MIT", "https://github.com/sindresorhus/aggregate-error", 3.0.1
"ajv-keywords", "MIT", "https://github.com/epoberezkin/ajv-keywords", 3.4.1
"ajv-errors", "MIT", "https://github.com/epoberezkin/ajv-errors", 1.0.1
"ajv", "MIT", "https://github.com/epoberezkin/ajv", 6.12.1
"alphanum-sort", "MIT", "https://github.com/TrySound/alphanum-sort", 1.0.2
"ansi-colors", "MIT", "https://github.com/doowb/ansi-colors", 3.2.4
"amdefine", "BSD-3-Clause OR MIT", "https://github.com/jrburke/amdefine", 1.0.1
"ansi-escapes", "MIT", "https://github.com/sindresorhus/ansi-escapes", 3.2.0
"ansi-html", "Apache-2.0", "https://github.com/Tjatse/ansi-html", 4.3.1
"ansi-regex", "MIT", "https://github.com/chalk/ansi-regex", 2.1.1
"ansi-styles", "MIT", "https://github.com/chalk/ansi-styles", 3.0.0 & 4.1.0 & 5.0.0
"anymatch", "ISC", "https://github.com/micromatch/anymatch", 3.2.1 & 4.2.1
"are-we-there-yet", "ISC", "https://github.com/iarna/are-we-there-yet", 1.1.5
"argparse", "MIT", "https://github.com/nodeca/argparse", 1.0.10
"aria-query", "Apache-2.0", "https://github.com/A11yance/aria-query", 3.0.0
"arr-diff", "MIT", "https://github.com/jonschlinkert/arr-diff", 4.0.0
"arity-n", "MIT", "https://github.com/stoeffel/arityN", 1.0.4
"arr-flatten", "MIT", "https://github.com/jonschlinkert/arr-flatten", 1.1.0
"arr-union", "MIT", "https://github.com/jonschlinkert/arr-union", 3.1.0
"array-equal", "MIT", "https://github.com/component/array-equal", 1.0.0
"aproba", "ISC", "https://github.com/iarna/aproba", 3.1.1
"array-includes", "MIT", "https://github.com/es-shims/array-includes", 2.1.2
"array-flatten", "MIT", "https://github.com/blakeembrey/array-flatten", 1.1.1
"array-union", "MIT", "https://github.com/sindresorhus/array-union", 1.0.2
"array-unique", "MIT", "https://github.com/jonschlinkert/array-unique", 0.3.2
"array-uniq", "MIT", "https://github.com/sindresorhus/array-uniq", 1.0.3
"array-find-index", "MIT", "https://github.com/sindresorhus/array-find-index", 1.0.2
"array.prototype.flat", "MIT", "https://github.com/es-shims/Array.prototype.flat", 1.2.3
"arrify", "MIT", "https://github.com/sindresorhus/arrify", 1.0.1
"asap", "MIT", "https://github.com/kriskowal/asap", 2.0.6
"asn1", "MIT", "https://github.com/joyent/node-asn1", 0.2.4
"assert-plus", "MIT", "https://github.com/mcavage/node-assert-plus", 1.0.0
"assert", "MIT", "https://github.com/defunctzombie/commonjs-assert", 1.4.1
"asn1.js", "MIT", "https://github.com/indutny/asn1.js", 4.10.1
"assign-symbols", "MIT", "https://github.com/jonschlinkert/assign-symbols", 1.0.0
"ast-types-flow", "ISC", "https://github.com/kyldvs/ast-types-flow", 0.0.7
"astral-regex", "MIT", "https://github.com/kevva/astral-regex", 1.0.0
"async-each", "MIT", "https://github.com/paulmillr/async-each", 1.0.3
"async-foreach", "MIT*", "https://github.com/cowboy/javascript-sync-async-foreach", 0.1.3
"async-limiter", "MIT", "https://github.com/strml/async-limiter", 1.0.1
"async", "MIT", "https://github.com/caolan/async", 2.6.3
"asynckit", "MIT", "https://github.com/alexindigo/asynckit", 0.4.0
"atob", "(MIT OR Apache-2.0)", "git://git.coolaj86.com/coolaj86/atob.js", 2.1.2
"autoprefixer", "MIT", "https://github.com/postcss/autoprefixer", 9.7.6
"aws-sign2", "Apache-2.0", "https://github.com/mikeal/aws-sign", 0.7.0
"aws4", "MIT", "https://github.com/mhart/aws4", 1.9.1
"axobject-query", "Apache-2.0", "https://github.com/A11yance/axobject-query", 2.1.2
"axios", "MIT", "https://github.com/axios/axios", 0.19.2
"babel-code-frame", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-code-frame", 6.26.0
"babel-eslint", "MIT", "https://github.com/babel/babel-eslint", 10.0.3
"babel-extract-comments", "MIT", "https://github.com/jonschlinkert/babel-extract-comments", 1.0.0
"babel-jest", "MIT", "https://github.com/facebook/jest", 24.9.0
"babel-loader", "MIT", "https://github.com/babel/babel-loader", 8.0.6
"babel-plugin-dynamic-import-node", "MIT", "https://github.com/airbnb/babel-plugin-dynamic-import-node", 2.3.0
"babel-plugin-emotion", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/babel-plugin-emotion", 10.0.33
"babel-plugin-istanbul", "BSD-3-Clause", "https://github.com/istanbuljs/babel-plugin-istanbul", 5.2.0
"babel-plugin-jest-hoist", "MIT", "https://github.com/facebook/jest", 24.9.0
"babel-plugin-macros", "MIT", "https://github.com/kentcdodds/babel-plugin-macros", 2.8.0
"babel-plugin-named-asset-import", "MIT", "https://github.com/facebook/create-react-app", 0.3.6
"babel-plugin-syntax-jsx", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx", 6.18.0
"babel-plugin-syntax-object-rest-spread", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread", 6.13.0
"babel-plugin-transform-object-rest-spread", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread", 6.26.0
"babel-plugin-transform-react-remove-prop-types", "MIT", "https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types", 0.4.24
"babel-preset-jest", "MIT", "https://github.com/facebook/jest", 24.9.0
"babel-preset-react-app", "MIT", "https://github.com/facebook/create-react-app", 9.1.2
"babel-runtime", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-runtime", 6.26.0
"babylon", "MIT", "https://github.com/babel/babylon", 6.18.0
"balanced-match", "MIT", "https://github.com/juliangruber/balanced-match", 1.0.0
"base64-js", "MIT", "https://github.com/beatgammit/base64-js", 1.3.1
"bcrypt-pbkdf", "BSD-3-Clause", "https://github.com/joyent/node-bcrypt-pbkdf", 1.0.2
"base", "MIT", "https://github.com/node-base/base", 0.11.2
"binary-extensions", "MIT", "https://github.com/sindresorhus/binary-extensions", 1.13.1
"batch", "MIT", "https://github.com/visionmedia/batch", 0.6.1
"block-stream", "ISC", "https://github.com/isaacs/block-stream", 2.0.0
"bn.js", "MIT", "https://github.com/indutny/bn.js", 4.11.8
"body-parser", "MIT", "https://github.com/expressjs/body-parser", 1.19.0
"bluebird", "MIT", "https://github.com/petkaantonov/bluebird", 3.7.2
"boolbase", "ISC", "https://github.com/fb55/boolbase", 1.0.0
"bonjour", "MIT", "https://github.com/watson/bonjour", 3.5.0
"bootstrap", "MIT", "https://github.com/twbs/bootstrap", 4.4.1
"brace-expansion", "MIT", "https://github.com/juliangruber/brace-expansion", 1.1.11
"braces", "MIT", "https://github.com/micromatch/braces", 2.3.2
"brorand", "MIT", "https://github.com/indutny/brorand", 3.0.2
"browser-process-hrtime", "BSD-2-Clause", "https://github.com/kumavis/browser-process-hrtime", 1.0.0
"browserify-aes", "MIT", "https://github.com/crypto-browserify/browserify-aes", 1.2.0
"browser-resolve", "MIT", "https://github.com/shtylman/node-browser-resolve", 1.11.3
"browserify-cipher", "MIT", "https://github.com/crypto-browserify/browserify-cipher", 1.0.1
"browserify-rsa", "MIT", "https://github.com/crypto-browserify/browserify-rsa", 4.0.1
"browserify-des", "MIT", "https://github.com/crypto-browserify/browserify-des", 1.0.2
"browserify-sign", "ISC", "https://github.com/crypto-browserify/browserify-sign", 4.0.4
"browserify-zlib", "MIT", "https://github.com/devongovett/browserify-zlib", 0.2.0
"browserslist", "MIT", "https://github.com/browserslist/browserslist", 4.10.0
"bser", "Apache-2.0", "https://github.com/facebook/watchman", 4.11.1
"buffer-from", "MIT", "https://github.com/LinusU/buffer-from", 1.1.1
"buffer-indexof", "MIT", "https://github.com/soldair/node-buffer-indexof", 1.1.1
"buffer-xor", "MIT", "https://github.com/crypto-browserify/buffer-xor", 1.0.3
"buffer", "MIT", "https://github.com/feross/buffer", 4.9.2
"builtin-status-codes", "MIT", "https://github.com/bendrucker/builtin-status-codes", 3.0.0
"bytes", "MIT", "https://github.com/visionmedia/bytes.js", 3.0.0
"cacache", "ISC", "https://github.com/npm/cacache", 3.1.0
"cache-base", "MIT", "https://github.com/jonschlinkert/cache-base", 13.0.1
"call-me-maybe", "MIT", "https://github.com/limulus/call-me-maybe", 1.0.1
